problemIndex,crossoverProbability,mutationProbability,mean_fitness,std_fitness,problem.optimalValue
0,0.1,0.01,3800.0,0.0,3800.0
0,0.1,0.05,3800.0,0.0,3800.0
0,0.1,0.1,3800.0,0.0,3800.0
0,0.1,0.2,3800.0,0.0,3800.0
0,0.1,0.3,3800.0,0.0,3800.0
0,0.1,0.5,3800.0,0.0,3800.0
0,0.3,0.01,3800.0,0.0,3800.0
0,0.3,0.05,3800.0,0.0,3800.0
0,0.3,0.1,3800.0,0.0,3800.0
0,0.3,0.2,3800.0,0.0,3800.0
0,0.3,0.3,3800.0,0.0,3800.0
0,0.3,0.5,3800.0,0.0,3800.0
0,0.5,0.01,3800.0,0.0,3800.0
0,0.5,0.05,3800.0,0.0,3800.0
0,0.5,0.1,3800.0,0.0,3800.0
0,0.5,0.2,3800.0,0.0,3800.0
0,0.5,0.3,3800.0,0.0,3800.0
0,0.5,0.5,3800.0,0.0,3800.0
0,0.7,0.01,3800.0,0.0,3800.0
0,0.7,0.05,3800.0,0.0,3800.0
0,0.7,0.1,3800.0,0.0,3800.0
0,0.7,0.2,3800.0,0.0,3800.0
0,0.7,0.3,3800.0,0.0,3800.0
0,0.7,0.5,3800.0,0.0,3800.0
0,0.9,0.01,3800.0,0.0,3800.0
0,0.9,0.05,3800.0,0.0,3800.0
0,0.9,0.1,3800.0,0.0,3800.0
0,0.9,0.2,3800.0,0.0,3800.0
0,0.9,0.3,3800.0,0.0,3800.0
0,0.9,0.5,3800.0,0.0,3800.0
0,1.0,0.01,3800.0,0.0,3800.0
0,1.0,0.05,3800.0,0.0,3800.0
0,1.0,0.1,3800.0,0.0,3800.0
0,1.0,0.2,3800.0,0.0,3800.0
0,1.0,0.3,3800.0,0.0,3800.0
0,1.0,0.5,3800.0,0.0,3800.0
1,0.1,0.01,8384.53870967742,125.8149055224104,8706.1
1,0.1,0.05,8706.1,0.0,8706.1
1,0.1,0.1,8706.1,0.0,8706.1
1,0.1,0.2,8706.1,0.0,8706.1
1,0.1,0.3,8706.1,0.0,8706.1
1,0.1,0.5,8706.1,0.0,8706.1
1,0.3,0.01,8360.71935483871,92.20069927194997,8706.1
1,0.3,0.05,8706.1,0.0,8706.1
1,0.3,0.1,8706.1,0.0,8706.1
1,0.3,0.2,8706.1,0.0,8706.1
1,0.3,0.3,8706.1,0.0,8706.1
1,0.3,0.5,8706.1,0.0,8706.1
1,0.5,0.01,8360.71935483871,92.20069927194997,8706.1
1,0.5,0.05,8706.1,0.0,8706.1
1,0.5,0.1,8706.1,0.0,8706.1
1,0.5,0.2,8706.1,0.0,8706.1
1,0.5,0.3,8706.1,0.0,8706.1
1,0.5,0.5,8706.1,0.0,8706.1
1,0.7,0.01,8360.71935483871,92.20069927194997,8706.1
1,0.7,0.05,8706.1,0.0,8706.1
1,0.7,0.1,8706.1,0.0,8706.1
1,0.7,0.2,8706.1,0.0,8706.1
1,0.7,0.3,8706.1,0.0,8706.1
1,0.7,0.5,8706.1,0.0,8706.1
1,0.9,0.01,8360.71935483871,92.20069927194997,8706.1
1,0.9,0.05,8706.1,0.0,8706.1
1,0.9,0.1,8706.1,0.0,8706.1
1,0.9,0.2,8706.1,0.0,8706.1
1,0.9,0.3,8706.1,0.0,8706.1
1,0.9,0.5,8706.1,0.0,8706.1
1,1.0,0.01,8360.71935483871,92.20069927194997,8706.1
1,1.0,0.05,8706.1,0.0,8706.1
1,1.0,0.1,8706.1,0.0,8706.1
1,1.0,0.2,8706.1,0.0,8706.1
1,1.0,0.3,8706.1,0.0,8706.1
1,1.0,0.5,8706.1,0.0,8706.1
2,0.1,0.01,4015.0,0.0,4015.0
2,0.1,0.05,4015.0,0.0,4015.0
2,0.1,0.1,4015.0,0.0,4015.0
2,0.1,0.2,4015.0,0.0,4015.0
2,0.1,0.3,4015.0,0.0,4015.0
2,0.1,0.5,4015.0,0.0,4015.0
2,0.3,0.01,4015.0,0.0,4015.0
2,0.3,0.05,4015.0,0.0,4015.0
2,0.3,0.1,4015.0,0.0,4015.0
2,0.3,0.2,4015.0,0.0,4015.0
2,0.3,0.3,4015.0,0.0,4015.0
2,0.3,0.5,4015.0,0.0,4015.0
2,0.5,0.01,4015.0,0.0,4015.0
2,0.5,0.05,4015.0,0.0,4015.0
2,0.5,0.1,4015.0,0.0,4015.0
2,0.5,0.2,4015.0,0.0,4015.0
2,0.5,0.3,4015.0,0.0,4015.0
2,0.5,0.5,4015.0,0.0,4015.0
2,0.7,0.01,4015.0,0.0,4015.0
2,0.7,0.05,4015.0,0.0,4015.0
2,0.7,0.1,4015.0,0.0,4015.0
2,0.7,0.2,4015.0,0.0,4015.0
2,0.7,0.3,4015.0,0.0,4015.0
2,0.7,0.5,4015.0,0.0,4015.0
2,0.9,0.01,4015.0,0.0,4015.0
2,0.9,0.05,4015.0,0.0,4015.0
2,0.9,0.1,4015.0,0.0,4015.0
2,0.9,0.2,4015.0,0.0,4015.0
2,0.9,0.3,4015.0,0.0,4015.0
2,0.9,0.5,4015.0,0.0,4015.0
2,1.0,0.01,4015.0,0.0,4015.0
2,1.0,0.05,4015.0,0.0,4015.0
2,1.0,0.1,4015.0,0.0,4015.0
2,1.0,0.2,4015.0,0.0,4015.0
2,1.0,0.3,4015.0,0.0,4015.0
2,1.0,0.5,4015.0,0.0,4015.0
3,0.1,0.01,6120.0,0.0,6120.0
3,0.1,0.05,6120.0,0.0,6120.0
3,0.1,0.1,6120.0,0.0,6120.0
