problemIndex,crossoverProbability_1,mutationProbability_1,crossoverProbability_2,mutationProbability_2,pvalue
0,0.1,0.01,0.1,0.05,0.0003257503052875689
0,0.1,0.01,0.1,0.1,0.0003257503052875689
0,0.1,0.01,0.1,0.2,0.0003257503052875689
0,0.1,0.01,0.1,0.3,0.0003257503052875689
0,0.1,0.01,0.1,0.5,0.0003257503052875689
0,0.1,0.01,0.3,0.01,0.8672590309138264
0,0.1,0.01,0.3,0.05,0.0003257503052875689
0,0.1,0.01,0.3,0.1,0.0003257503052875689
0,0.1,0.01,0.3,0.2,0.0003257503052875689
0,0.1,0.01,0.3,0.3,0.0003257503052875689
0,0.1,0.01,0.3,0.5,0.0003257503052875689
0,0.1,0.01,0.5,0.01,0.773866141084702
0,0.1,0.01,0.5,0.05,0.0003257503052875689
0,0.1,0.01,0.5,0.1,0.0003257503052875689
0,0.1,0.01,0.5,0.2,0.0003257503052875689
0,0.1,0.01,0.5,0.3,0.0003257503052875689
0,0.1,0.01,0.5,0.5,0.0003257503052875689
0,0.1,0.01,0.7,0.01,0.3344027189992482
0,0.1,0.01,0.7,0.05,0.0003257503052875689
0,0.1,0.01,0.7,0.1,0.0003257503052875689
0,0.1,0.01,0.7,0.2,0.0003257503052875689
0,0.1,0.01,0.7,0.3,0.0003257503052875689
0,0.1,0.01,0.7,0.5,0.0003257503052875689
0,0.1,0.01,0.9,0.01,0.5389128491360321
0,0.1,0.01,0.9,0.05,0.0003257503052875689
0,0.1,0.01,0.9,0.1,0.0003257503052875689
0,0.1,0.01,0.9,0.2,0.0003257503052875689
0,0.1,0.01,0.9,0.3,0.0003257503052875689
0,0.1,0.01,0.9,0.5,0.0003257503052875689
0,0.1,0.01,1.0,0.01,1.0
0,0.1,0.01,1.0,0.05,0.0003257503052875689
0,0.1,0.01,1.0,0.1,0.0003257503052875689
0,0.1,0.01,1.0,0.2,0.0003257503052875689
0,0.1,0.01,1.0,0.3,0.0003257503052875689
0,0.1,0.01,1.0,0.5,0.0003257503052875689
0,0.1,0.05,0.1,0.1,1.0
0,0.1,0.05,0.1,0.2,1.0
0,0.1,0.05,0.1,0.3,1.0
0,0.1,0.05,0.1,0.5,1.0
0,0.1,0.05,0.3,0.01,0.00032969156868611807
0,0.1,0.05,0.3,0.05,1.0
0,0.1,0.05,0.3,0.1,1.0
0,0.1,0.05,0.3,0.2,1.0
0,0.1,0.05,0.3,0.3,1.0
0,0.1,0.05,0.3,0.5,1.0
0,0.1,0.05,0.5,0.01,0.0001580511830046009
0,0.1,0.05,0.5,0.05,1.0
0,0.1,0.05,0.5,0.1,1.0
0,0.1,0.05,0.5,0.2,1.0
0,0.1,0.05,0.5,0.3,1.0
0,0.1,0.05,0.5,0.5,1.0
0,0.1,0.05,0.7,0.01,0.0003727327282969212
0,0.1,0.05,0.7,0.05,1.0
0,0.1,0.05,0.7,0.1,1.0
