param1_crossover,param1_mutation,param2_crossover,param2_mutation,pvalue
0.1,0.01,0.1,0.05,2.146415947700635e-30
0.1,0.01,0.1,0.1,1.712350640257805e-33
0.1,0.01,0.1,0.2,1.3521556852367347e-33
0.1,0.01,0.1,0.3,1.2409155576054564e-30
0.1,0.01,0.1,0.5,9.2377785308704e-21
0.1,0.01,0.3,0.01,0.5610702570618613
0.1,0.01,0.3,0.05,7.007737697462806e-29
0.1,0.01,0.3,0.1,3.326751700584951e-33
0.1,0.01,0.3,0.2,1.840773083567278e-33
0.1,0.01,0.3,0.3,9.060606453236798e-32
0.1,0.01,0.3,0.5,9.727263410554202e-22
0.1,0.01,0.5,0.01,0.06563025454991536
0.1,0.01,0.5,0.05,9.00908406279031e-28
0.1,0.01,0.5,0.1,4.308854287724918e-32
0.1,0.01,0.5,0.2,7.736991807469515e-33
0.1,0.01,0.5,0.3,2.556466115625964e-31
0.1,0.01,0.5,0.5,1.0181387684322148e-20
0.1,0.01,0.7,0.01,0.19181524766812075
0.1,0.01,0.7,0.05,5.598142771040515e-25
0.1,0.01,0.7,0.1,7.495342758126447e-33
0.1,0.01,0.7,0.2,4.300545434212181e-33
0.1,0.01,0.7,0.3,1.5327995499421766e-31
0.1,0.01,0.7,0.5,5.403086821019205e-22
0.1,0.01,0.9,0.01,0.005534401261925587
0.1,0.01,0.9,0.05,4.860828392042023e-27
0.1,0.01,0.9,0.1,1.2130803427357375e-32
0.1,0.01,0.9,0.2,1.886742853424148e-33
0.1,0.01,0.9,0.3,1.8142240087106728e-31
0.1,0.01,0.9,0.5,1.2285316056046826e-20
0.1,0.01,1.0,0.01,0.008121557618058462
0.1,0.01,1.0,0.05,1.9484284431765767e-28
0.1,0.01,1.0,0.1,4.8919894194483666e-33
0.1,0.01,1.0,0.2,2.8222289085504417e-32
0.1,0.01,1.0,0.3,5.763776489942551e-31
0.1,0.01,1.0,0.5,8.463250796106973e-21
0.1,0.05,0.1,0.1,1.261150348887982e-13
0.1,0.05,0.1,0.2,1.3962899465300842e-08
0.1,0.05,0.1,0.3,0.011414631600627133
0.1,0.05,0.1,0.5,0.013471033392438568
0.1,0.05,0.3,0.01,1.870991640415743e-31
0.1,0.05,0.3,0.05,0.923351462101148
0.1,0.05,0.3,0.1,2.2150494630265847e-11
0.1,0.05,0.3,0.2,1.1623108494713116e-07
0.1,0.05,0.3,0.3,0.005745057933715366
0.1,0.05,0.3,0.5,0.015764206716532874
0.1,0.05,0.5,0.01,2.8143811949734277e-31
0.1,0.05,0.5,0.05,0.39388081254802887
0.1,0.05,0.5,0.1,6.833192163545762e-10
0.1,0.05,0.5,0.2,8.507342347647825e-08
0.1,0.05,0.5,0.3,0.007739266863112241
0.1,0.05,0.5,0.5,0.020647975543551442
0.1,0.05,0.7,0.01,3.281937847274808e-30
0.1,0.05,0.7,0.05,0.10653422410304954
0.1,0.05,0.7,0.1,4.448864167606409e-12
0.1,0.05,0.7,0.2,3.681899986383809e-07
0.1,0.05,0.7,0.3,0.00436271922805274
0.1,0.05,0.7,0.5,0.015015399955957475
0.1,0.05,0.9,0.01,1.3495338076830746e-31
0.1,0.05,0.9,0.05,0.11697727871533693
0.1,0.05,0.9,0.1,9.873522038391633e-11
0.1,0.05,0.9,0.2,2.281876173498597e-09
0.1,0.05,0.9,0.3,0.011200786639609547
0.1,0.05,0.9,0.5,0.0032022521850088256
0.1,0.05,1.0,0.01,3.6677549670694613e-32
0.1,0.05,1.0,0.05,0.004209152093581369
0.1,0.05,1.0,0.1,1.052615840608304e-09
0.1,0.05,1.0,0.2,1.0401776564984746e-07
0.1,0.05,1.0,0.3,0.014245382429830356
0.1,0.05,1.0,0.5,0.008644709031142093
0.1,0.1,0.1,0.2,0.006164537170837927
0.1,0.1,0.1,0.3,3.989708257329858e-08
0.1,0.1,0.1,0.5,5.672608557991867e-17
0.1,0.1,0.3,0.01,3.65329186868185e-34
0.1,0.1,0.3,0.05,2.311949024411917e-12
0.1,0.1,0.3,0.1,0.15127557245673506
0.1,0.1,0.3,0.2,0.0038659141318370415
0.1,0.1,0.3,0.3,1.5911466839846368e-06
0.1,0.1,0.3,0.5,1.4287872566101322e-17
0.1,0.1,0.5,0.01,3.494412704951099e-34
0.1,0.1,0.5,0.05,1.3299322585620045e-15
0.1,0.1,0.5,0.1,0.02194639617337238
0.1,0.1,0.5,0.2,0.0016627192331848948
0.1,0.1,0.5,0.3,3.6987260686897104e-07
0.1,0.1,0.5,0.5,2.952320704017489e-17
0.1,0.1,0.7,0.01,5.408233082464266e-34
0.1,0.1,0.7,0.05,3.0043143649202464e-17
0.1,0.1,0.7,0.1,0.8317191890880329
0.1,0.1,0.7,0.2,0.0005069323156314918
0.1,0.1,0.7,0.3,1.363387872893701e-07
0.1,0.1,0.7,0.5,1.4941880070986264e-17
0.1,0.1,0.9,0.01,3.3869582309566826e-34
0.1,0.1,0.9,0.05,3.635832777349643e-17
0.1,0.1,0.9,0.1,0.006855123511053167
0.1,0.1,0.9,0.2,0.02255365328199765
0.1,0.1,0.9,0.3,2.7820849663634723e-08
0.1,0.1,0.9,0.5,2.156475473462551e-18
0.1,0.1,1.0,0.01,8.7929541594255e-35
0.1,0.1,1.0,0.05,6.923829545638742e-18
0.1,0.1,1.0,0.1,0.17617512797929136
0.1,0.1,1.0,0.2,0.0004892498127524308
0.1,0.1,1.0,0.3,1.744729799080837e-07
0.1,0.1,1.0,0.5,6.349432197430965e-17
0.1,0.2,0.1,0.3,1.6589154022115738e-13
0.1,0.2,0.1,0.5,1.6160705696490272e-22
0.1,0.2,0.3,0.01,2.0274977921660293e-34
0.1,0.2,0.3,0.05,4.965699644805547e-08
0.1,0.2,0.3,0.1,0.14007092129195248
0.1,0.2,0.3,0.2,0.48279551863242043
0.1,0.2,0.3,0.3,9.299086658315272e-10
0.1,0.2,0.3,0.5,2.3862672789115965e-22
0.1,0.2,0.5,0.01,2.596185938106129e-34
0.1,0.2,0.5,0.05,1.6098385481191723e-10
0.1,0.2,0.5,0.1,0.5591707477458168
0.1,0.2,0.5,0.2,0.4969258030937246
0.1,0.2,0.5,0.3,2.5124676321962726e-09
0.1,0.2,0.5,0.5,5.6267179608778325e-22
0.1,0.2,0.7,0.01,3.0484456298103824e-34
0.1,0.2,0.7,0.05,8.936286165822682e-14
0.1,0.2,0.7,0.1,0.0013820505196378136
0.1,0.2,0.7,0.2,0.17345019172016707
0.1,0.2,0.7,0.3,4.198779534528879e-11
0.1,0.2,0.7,0.5,2.2619039582446676e-22
0.1,0.2,0.9,0.01,1.8771564904516373e-34
0.1,0.2,0.9,0.05,6.51578218343085e-13
